x_center,y_center,width,height,angle
995.96234,1218.263,336.31924,131.42825,-0.12154928
1005.7731,1542.911,270.33234,151.051,-0.076160386
920.6293,4118.5396,393.1727,262.84113,0.12408405
947.7466,929.23047,375.03098,120.27139,-0.06954239
991.29974,1897.8658,236.82689,155.53743,0.047001448
913.9195,2541.9006,255.8137,168.5136,0.05466207
913.9175,2835.9592,276.21896,185.52902,0.034871444
954.74817,2175.8442,246.85608,152.98465,0.10160968
983.4296,3800.0593,367.13806,245.85382,0.10753932
990.90533,3525.5005,346.58722,230.41713,-0.08708257
959.23785,3248.3484,293.73224,211.39764,-0.13403949
972.043,2003.1891,227.7957,152.80461,0.03167477
830.5275,4456.162,502.40387,242.30353,0.2187034
